Name,LastName,FilePrefix,Organizer,Title,Institution,Field,Region,Country,Attending
Nagwa Khattab,,,,Professor,"National Research Center, Dokki, Cairo, Egypt",Organic Solar Cells,ME,Egypt,
Mona Saif,,,,Assistant Prof.,"Ain Shams University, Cairo, Egypt",Organic Solar Cells,ME,Egypt,
Moataz Soliman,,,,Professor,"University of Alexandria, Alexandria, Egypt",Organic Solar Cells,ME,Egypt,
"Mohamed Abdel-Mottaleb
(Egyptian co-organizer)",,,,Assistant Prof.,"Nile University,
Cairo, Egypt",Silicon Solar Cells and Graphene electrodes,ME,Egypt,
Mohamed Saad,,,,Scientist and PI,Egyptian Nano Center,Thin Film Silicon,ME,Egypt,
Ahmed Abou-Kandil,,,,Scientist and PI,Egyptian Nano Center,Thin Film Silicon,ME,Egypt,
Osama Tobail,,,,Scientist and PI,Egyptian Nano Center,Thin Film Silicon,ME,Egypt,
Mohamed Hilali,,,,Scientist and PI,Egyptian Nano Center,Thin Film Silicon,ME,Egypt,
Amal Kasry,,,,Scientist and PI,Egyptian Nano Center,Graphene Transparent Electrodes,ME,Egypt,
Hisham Mohamed,,,,Scientist and PI,Egyptian Nano Center,Graphene Transparent Electrodes,ME,Egypt,
Mostafa El-Ashry,,,,Scientist and PI,Egyptian Nano Center,Graphene Transparent Electrodes,ME,Egypt,
Eman-Bellah S. Mettawee  ,,,,,"Department of Solar Energy, National Research Center of Egypt",Solar Thermal Energy Storage,ME,Egypt,
Ghazy M.R. Assassa,,,,,"Zagazig University, Egypt",Solar Thermal Energy Storage,ME,Egypt,
"El-Kotb, M",,,,,Cairo University,Solar Thermal Energy Storage,ME,Egypt,
"El-Sharkawy, A.",,,,,"National Research Center Dokki-giza, Egypt",Solar Thermal Energy Storage,ME,Egypt,
"El Chazly, N.M.",,,,,"National Research Center Dokki-giza, Egypt",Solar Thermal Energy Storage,ME,Egypt,
"Khattab, N.M.",,,,,"National Research Center Dokki-giza, Egypt",Solar Thermal Energy Storage,ME,Egypt,
"El-Deeb, S.",,,,,"National Research Center Dokki-giza, Egypt",Solar Thermal Energy Storage,ME,Egypt,
